entity_id,student_activity_code,student_activity_desc,student_particip_desc,activity_office_desc
782724,BUYE,YEAH-Young Entrepreneurs At Haas,Participated,NULL
782724,LCWR,SLCT-Writing,Participated,NULL
782724,SSRG,AP Senior Class Gift Committee,Participated,NULL
782724,UACA,Students For Academic Freedom,Participated,NULL
782724,UBLN,Berk League Of Nations Delegate Std,Participated,NULL
782724,UCRK,Crocheting & Knitting Club,Participated,NULL
782724,UECS,Stdts For Dis Of Econ/Soc Org Of UN,Participated,NULL
782724,UGAU,Stdnts For Dis On Gnrl Asmbly Of UN,Participated,NULL
782724,UMNN,Berkeley Model United Nations,Participated,NULL
782724,UNMU,NorCal Model UN Logistical Outreach,Participated,NULL
782724,USPU,Stdnts For Dis Of Spec Cmtes Of UN,Participated,NULL
782724,UTGL,Tour Guide Leadership Team,Participated,NULL
782724,UUNO,Berkeley Model UN Delegate Outreach,Participated,NULL
782724,UUNS,Berkeley Model UN Secretariat,Participated,NULL
782780,RHIH,International House Resident,Participated,NULL
782869,NULL,NULL,NULL,NULL
782875,NULL,NULL,NULL,NULL
782957,NULL,NULL,NULL,NULL
782971,SCCC,Cal Corps Friends and Alumni,Participated,NULL
782971,USUI,Suitcase Clinic,Participated,NULL
782986,NULL,NULL,NULL,NULL
782996,NULL,NULL,NULL,NULL
783038,RHRV,Rochdale Village Co-Op Resident,Participated,NULL
783038,RHSC,Univ Students Co-op Assoc. Resident,Participated,NULL
783048,RHIH,International House Resident,Participated,NULL
783089,GCO,Chi Omega,Participated,NULL
783089,LCMS,SLCT-Math/Statistics,Participated,NULL
783089,LCSP,SLCP-Student Participants,Participated,NULL
783117,GSAM,Sigma Alpha Mu,Participated,NULL
783117,UBS,Berkeley Surfing,Participated,NULL
783117,USNW,Snowboard Team,Participated,NULL
783143,GKAT,Kappa Alpha Theta,Participated,NULL
783158,EAFRA,Education Abroad Program - France,Participated,NULL
783322,UPAS,Pilipino Academic Student Services,Participated,NULL
783494,GSK,Sigma Kappa,Participated,NULL
783494,LCSP,SLCP-Student Participants,Participated,NULL
783494,SCCC,Cal Corps Friends and Alumni,Participated,NULL
783494,UBSS,Berk Staff & Student Language Cltn,Participated,NULL
783494,UPP,Pre-Med Perspective,Participated,NULL
783494,UPPP,Partneship for Pre-Pfsnl Pilipinos,Participated,NULL
783494,USUI,Suitcase Clinic,Participated,NULL
783692,GDST,Delta Sigma Theta,Participated,NULL
783692,GPHC,Pan-Hellenic Council,Participated,NULL
783720,BUHSP,Haas Scholars Program,Participated,NULL
783720,LCSP,SLCP-Student Participants,Participated,NULL
783720,UCLD,UCSF UC Leads,Participated,NULL
783823,NULL,NULL,NULL,NULL
783864,NULL,NULL,NULL,NULL
783865,BIBSP,Biology Scholars Program,Participated,NULL
783865,EABRA,Education Abroad Program - Brazil,Participated,NULL
783865,LCSP,SLCP-Student Participants,Participated,NULL
784105,NULL,NULL,NULL,NULL
784107,LWBT,Berkeley Technology Law Journal,Participated,NULL
784171,BURE,Berkeley Real Estate Club,Participated,NULL
784190,LCSP,SLCP-Student Participants,Participated,NULL
784190,UCEF,Campus Evangelistic Flwsp-Cantonese,Participated,NULL
784403,BUCI,California Investment Association,Participated,NULL
784403,EACHN,Education Abroad Program - China,Participated,NULL
784403,EAFRA,Education Abroad Program - France,Participated,NULL
785129,LCSP,SLCP-Student Participants,Participated,NULL
785226,LCSP,SLCP-Student Participants,Participated,NULL
785439,EISA,Educational Opportunity Program,Participated,NULL
785439,RHRV,Rochdale Village Co-Op Resident,Participated,NULL
785439,RHSC,Univ Students Co-op Assoc. Resident,Participated,NULL
785471,NULL,NULL,NULL,NULL
785642,EISA,Educational Opportunity Program,Participated,NULL
785642,ULPL,Latino Pre-Law Society,Participated,NULL
785705,NULL,NULL,NULL,NULL
785856,NULL,NULL,NULL,NULL
786056,NULL,NULL,NULL,NULL
786094,EADEU,Education Abroad Program - Germany,Participated,NULL
786094,RHI1,2003-2012 I-House Resident,Participated,NULL
786094,RHIH,International House Resident,Participated,NULL
786148,EIT,TAP Transfer Alliance Project,Participated,NULL
786183,RHRV,Rochdale Village Co-Op Resident,Participated,NULL
786183,RHSC,Univ Students Co-op Assoc. Resident,Participated,NULL
786316,UBOR,Berkeley Org Of Romanian Students,Participated,NULL
786339,DSPA,Disabled Student Program Alumni,Participated,User of Service
786362,EAITA,Education Abroad Program - Italy,Participated,NULL
786362,LCSP,SLCP-Student Participants,Participated,NULL
786362,UPAS,Pilipino Academic Student Services,Participated,NULL
786463,LCSP,SLCP-Student Participants,Participated,NULL
786475,SPCM,Cal Mic Men,Participated,NULL
786475,SPSA,Cal Spirit Alumni,Participated,NULL
