entity_id,affil_code,affil_code_desc,affil_level_code_desc,affil_status_desc
331300,CHCOM,Chemistry Community,Friend,Current
331300,MU1,*Haas Cal Business Alumni Member,Member,Former
331300,URCR,@Cal Registrant,Member,Current
331309,CACSP,CAA The Berkeley Network,Member,Current
331309,CAFCA,Friends of CAA,Friend,Current
331309,MA3,Cal Advocate,Advocate,Former
331309,TLOLI,Osher Lifelong Learning Institute,Member,Former
331309,URCR,@Cal Registrant,Member,Current
331319,ATFAT,Friends of Athletics,Friend,Current
331319,CAFCA,Friends of CAA,Friend,Current
331319,MA12,CAA Lair of the Golden Bear Camper,Member,Current
331319,MA12,CAA Lair of the Golden Bear Camper,Member,Former
331319,MA3,Cal Advocate,Advocate,Current
331319,RC43,CAA UC Club of Santa Clara County,Member,Former
331322,CAFCA,Friends of CAA,Friend,Current
331322,CHEFR,Chemistry Free Radicals Era,Member,Current
331322,RC55,CAA Cal Alumni Club of New York,Member,Former
331349,MA12,CAA Lair of the Golden Bear Camper,Member,Former
331349,MA3,Cal Advocate,Advocate,Current
331349,UBIW,Benjamin Ide Wheeler Society,Member,Current
331405,ATFAT,Friends of Athletics,Friend,Current
331405,CAFCA,Friends of CAA,Friend,Current
