entity_id,sport_code,sport_desc
873645,NULL,NULL
873652,NULL,NULL
873655,NULL,NULL
873659,NULL,NULL
873665,NULL,NULL
873674,NULL,NULL
873682,RSFC,Cal Fencing Club
873686,NULL,NULL
873691,NULL,NULL
873692,NULL,NULL
873696,NULL,NULL
873700,NULL,NULL
873705,NULL,NULL
873711,NULL,NULL
873718,NULL,NULL
873728,RSBD,Cal Badminton Club
873738,NULL,NULL
873741,NULL,NULL
873746,NULL,NULL
873750,NULL,NULL
873751,NULL,NULL
873754,NULL,NULL
873756,NULL,NULL
873780,NULL,NULL
873783,NULL,NULL
873784,NULL,NULL
873788,NULL,NULL
873796,NULL,NULL
873799,NULL,NULL
873803,NULL,NULL
873806,RSTC,Cal Triathlon Club
873807,NULL,NULL
873811,NULL,NULL
873812,RSRW,Cal Rugby Club - Women
873820,NULL,NULL
873837,NULL,NULL
873842,NULL,NULL
873843,NULL,NULL
873845,NULL,NULL
873850,NULL,NULL
873859,NULL,NULL
873876,RSBD,Cal Badminton Club
873882,NULL,NULL
873893,NULL,NULL
873904,NULL,NULL
873909,NULL,NULL
873913,NULL,NULL
873920,NULL,NULL
873922,NULL,NULL
873926,NULL,NULL
873930,NULL,NULL
873956,NULL,NULL
873957,NULL,NULL
873960,NULL,NULL
873961,NULL,NULL
874006,NULL,NULL
874117,NULL,NULL
874130,NULL,NULL
874154,NULL,NULL
874158,NULL,NULL
874168,NULL,NULL
874172,NULL,NULL
874179,NULL,NULL
874191,NULL,NULL
874504,NULL,NULL
874513,NULL,NULL
874520,NULL,NULL
874521,NULL,NULL
874530,NULL,NULL
874532,NULL,NULL
874538,NULL,NULL
874562,NULL,NULL
874574,NULL,NULL
874578,NULL,NULL
874582,NULL,NULL
874587,NULL,NULL
874597,NULL,NULL
874637,NULL,NULL
874639,NULL,NULL
874643,NULL,NULL
874649,NULL,NULL
874650,NULL,NULL
874652,NULL,NULL
874660,NULL,NULL
874664,RSWW,Cal Water Polo Club - Women
874666,NULL,NULL
874668,NULL,NULL
874674,NULL,NULL
874685,NULL,NULL
874715,NULL,NULL
874763,NULL,NULL
874769,ICA,Intercollegiate Athlete
874769,WACW,Crew - Women
874775,NULL,NULL
874780,NULL,NULL
874787,NULL,NULL
874790,NULL,NULL
874793,NULL,NULL
874803,NULL,NULL
874810,NULL,NULL
874811,NULL,NULL
874827,NULL,NULL
874830,ICA,Intercollegiate Athlete
874830,WACW,Crew - Women
874834,NULL,NULL
874849,NULL,NULL
874863,NULL,NULL
874871,NULL,NULL
874882,ICA,Intercollegiate Athlete
874882,WASW,Swimming & Diving - Women
874904,NULL,NULL
874913,NULL,NULL
874920,NULL,NULL
